original_author,fict_bio,pred_author,match
Johanna Skibsrud,"You were born in 1981 in Halifax, Nova Scotia. You grew up along the Atlantic coast, studied English at Dalhousie and completed an MA at Concordia before working in Montreal and the United States as a teacher and editor. Beginning with two slim collections of poetry and a debut novel from a small Canadian press, your work is marked by lucid, lyrical prose, an ethic of attentiveness, and sustained inquiries into memory, intergenerational debt, and the legacies of war. You have read widely across Canada and abroad. Your fiction has been shortlisted for the Scotiabank Giller Prize, and your poetry received a CBC Literary Award.",Johanna Skibsrud,1
Dianne Warren,"You were born in 1953 in Saskatoon, Saskatchewan. Raised on the prairie, you studied English at the University of Saskatchewan and remained in the province, combining editorial work and community arts with a steady practice of fiction. Beginning with short stories and later turning to novels, your writing is marked by spare, unsentimental prose, quiet humor and patient attention to the ties between land and family in small Western communities. Critics note your talent for interwoven narratives and the dignity you grant ordinary lives. You have received a Saskatchewan Book Award and were shortlisted for the Governor General’s Literary Award for fiction.",Guy Vanderhaeghe,0
Brad Watson,"You were born in 1956 in Gulfport, Mississippi. Raised along the Gulf Coast, you worked as a reporter before completing an MFA at the University of Alabama. Your debut story collection in the mid-1990s drew national attention, and a subsequent novel deepened your reputation for lyrical, meticulously observed prose rooted in small-town lives and the tidal pull of memory, grief, and stubborn desire. Your work blends dark humor with a patient moral clarity, attentive to the weather and history of the Deep South. You have taught at the University of Mississippi and later in a western program. Honors include a Whiting Award and an O. Henry Prize.",Brad Watson,1
Colson Whitehead,"You were born in 1971 in Newark, New Jersey. After studying literature at Princeton University, you worked as a researcher and book critic in Manhattan before turning to fiction. Your novels and essays explore how American history, technology, and urban space shape identity, often using speculative frameworks to recast familiar narratives. With exacting prose and understated wit, you balance structural invention with humane observation. Your work appears in national magazines and you have taught writing at Columbia and at summer workshops. Honors include a Guggenheim Fellowship and the New York Public Library Young Lions Fiction Award. You live in Brooklyn, continuing to draft ambitious, intellectually searching books.",Colson Whitehead,1
Kathleen Winter,"Born in 1962 in Halifax, Nova Scotia, you grew up on Newfoundland’s coast before making homes in St. John’s and Montreal. After years as a columnist and CBC producer, you turned to fiction; your short stories earned the Metcalf-Rooke Award, and your recent debut novel has drawn national praise. Your work is marked by lyrical precision, compassionate portraits of outport life, and a probing engagement with gender, belonging, and the North’s austere beauty. You balance journalism with literary mentorship. With the Winterset Award recognizing your contribution to Newfoundland and Labrador literature, you have become a vital, steady voice in contemporary Canadian letters.",Lisa Moore,0
David Bezmozgis,"You were born in 1974 in Minsk, then part of the Soviet Union, and immigrated to Canada in 1981, settling in Toronto. After studying literature at the University of Toronto and film at the Canadian Film Centre, you published a debut story collection about Soviet Jewish émigrés in North America. Your prose is restrained and precise, attentive to exile, family memory, and the economies of aspiration and loss, balancing sobriety with quiet wit. You have written and directed films, including a feature that premiered at the Toronto International Film Festival. Your work has received the Trillium Book Award and a National Jewish Book Award.",David Bezmozgis,1
Carol Birch,"You were born in 1954 in Liverpool, and grew up in the industrial North West before settling in London. After varied jobs and study, you began publishing novels in the mid-1980s. Your fiction blends lyrical realism with careful historical research, drawing on maritime lore, migrant communities, and the textures of working-class life. You favor clear, musical prose, expansive narratives, and compassionate portraits of ordinary people thrust into difficult currents. Critics note your command of place—from docklands and mill towns to crowded capitals—and your gift for the telling detail. You have taught creative writing and reviewed widely. Your work has earned the Somerset Maugham Award and a steady readership.",Jeanette Winterson,0
Lynn Coady,"You were born in 1971 in Halifax, Nova Scotia. Raised along the coast, you studied English at the University of New Brunswick and completed an MFA in creative writing at the University of British Columbia. You worked as a journalist and editor before turning to fiction and teaching in western Canada. Your novels and stories probe small-town Maritime life under pressure from migration and class change, distinguished by dry wit, moral clarity, and compassion for young people. Your spare prose and ear for dialogue animate close-knit communities. You have won the Journey Prize and the Thomas Raddall Atlantic Fiction Award.",Alexander MacLeod,0
Patrick DeWitt,"You were born in 1974 in Victoria, British Columbia. You grew up between Vancouver Island and Southern California, leaving school early to work as a dishwasher, mover, and bookstore clerk. After years of drift you settled in Portland, Oregon, where you began to write fiction in earnest. Your work—spare, darkly comic, attentive to damaged men at the margins—fuses picaresque momentum with moral clarity, favoring plain diction and a low, wry music. Stories led to a debut novel in 2008 and a second in progress; your first book earned the Ethel Wilson Fiction Prize in 2009. You keep to your desk, intent on sentences that serve truth.",Patrick deWitt,1
Esi Edugyan,"You were born in 1979 in Edmonton, Alberta, to parents who emigrated from Ghana. Raised on the Prairies, you studied literature at the University of British Columbia and completed an MFA before holding residencies in Berlin and Toronto. Your first novel, published mid-decade, established your reputation for lucid, musical prose and an exacting historical imagination; your fiction traces the Black diaspora across Europe and North America, attentive to memory, secrecy, and the ethics of witness. You have taught intermittently and written essays for Canadian journals. Honors include the Bronwen Wallace Award for Emerging Writers and the Commonwealth Writers’ Prize (Best First Book, Canada and Caribbean).",Esi Edugyan,1
Jennifer Egan,"You were born in 1963 in Boston, Massachusetts, and raised in Berkeley, California. After studying English at Brown University, you held a fellowship at the University of Cambridge, where you began shaping the formally adventurous stories that would define your work. Settled in New York, you balanced magazine features for The New York Times Magazine and The New Yorker with fiction: a debut story collection and several novels exploring time, identity, and the social currents of the digital age. Your prose favors shifting structures, polyphonic voices, and precise observation of urban life. You have received a Guggenheim Fellowship and a Whiting Award.",Jennifer Egan,1
Stephen Kelman,"You were born in 1977 in Bedford, England. Raised on a large estate, you studied marketing at the University of Hertfordshire and worked in offices, warehouses, and a call centre before writing full-time. Your fiction focuses on inner-city lives and the pressures on new arrivals to Britain, distinguished by a child’s-eye immediacy, humane wit, and finely observed street cadences. Stories and early chapters have appeared in UK anthologies and journals, earning the Bridport Prize for short fiction. Agents and editors have praised your measured empathy and restraint, and you continue to develop a debut novel that tests moral certainty without sentimentality.",Paul Mendez,0
Andrew Krivak,"You were born in 1965 in Johnstown, Pennsylvania, to Slovak immigrants. After studying literature and philosophy at the College of the Holy Cross, you entered the Jesuits, spending eight years in formation before leaving to write. Graduate work at Boston University led to teaching posts and a life divided between New England and the Tatra foothills you visit to trace family history. Your memoir and stories, published in journals such as Ploughshares and The Kenyon Review, are marked by spare, elegiac prose, moral inquiry, and the aftermath of war and migration. Honors include a National Endowment for the Arts fellowship and a Pushcart Prize.",Anthony Doerr,0
AD Miller,"You were born in 1975 in Manchester. After reading English at Oxford, you joined The Observer as a reporter, later serving as its Moscow correspondent and then as a features writer in London. Your years in Russia and Ukraine shaped a body of work preoccupied with moral ambiguity, urban reinvention, and the uneasy bargains of post-Soviet capitalism. Your prose is restrained and observational, attentive to atmosphere and the quiet pressures of conscience. Your first book, a family memoir tracing a Jewish lineage across Europe, received the Somerset Maugham Award in 2008. You continue to write essays and fiction that examine how ordinary lives bend under corruption, fear, and desire.",Peter Pomerantsev,0
Tea Obreht,"You were born in 1986 in Sarajevo, then Yugoslavia. After a siege-era childhood and moves through Vienna and Cairo, you settled in the United States as a teenager, studied literature, and completed an MFA at the Iowa Writers’ Workshop. Your short fiction has appeared in The New Yorker, The Atlantic, and Zoetrope: All-Story, and a debut novel is forthcoming. Drawing on Balkan folklore and the aftershocks of war, your work blends mythic inference with scrupulous realism, favoring braided narratives, ghostly rumor, and closely observed family histories. You have received an O. Henry Prize and a Rona Jaffe Foundation Writers’ Award, recognition for prose marked by moral gravity and imaginative reach.",Sanja Mitrovic,0
Eric Puchner,"You were born in 1971 in Washington, D.C., and grew up along the Mid-Atlantic before heading west. After studying literature at the University of Wisconsin and completing an MFA at Johns Hopkins, you moved to the Bay Area, where you now teach at San Francisco State University. Your stories and novel trace the fault lines of American family life—class anxiety, real estate dreams, and the comic dissonance between aspiration and circumstance—rendered with precise social detail and a generous, unsentimental regard for your characters. Your work has appeared in The New Yorker, Tin House, and Best American Short Stories. You have received a Whiting Writers’ Award and an O. Henry Prize.",Lysley Tenorio,0
Jesmyn Ward,"You were born in 1979 in Houma, Louisiana, and raised along the Gulf Coast in a close community. After earning a BA from Louisiana State University and an MFA from the University of Texas at Austin, you began teaching, holding a fellowship at the Fine Arts Work Center. Your debut novel appeared in 2008. Your fiction is marked by lyrical prose, a rooted sense of place, and unflinching portraits of Black families confronting poverty, violence, and the aftermath of coastal storms; it honors communal memory and the voices of young people. You have received the Rona Jaffe Foundation Writers’ Award.",Jesmyn Ward,1
Alexi Zentner,"You were born in 1975 in Halifax, Nova Scotia. Raised in a working river town, you came to fiction after years as a reporter and bookseller, publishing short stories in Zoetrope: All-Story, Tin House, and The Walrus. Your work braids folklore with the harsh grace of northern forests and coasts, mapping families marked by loss, faith, and the stubborn economies of logging and fishing. Lyrical yet unsentimental, your narratives treat the uncanny as an extension of place. You have received an O. Henry Prize and the Journey Prize, and your stories have appeared in Best American Short Stories. You live in British Columbia with your family.",Alexander MacLeod,0
Russell Banks,"You were born in 1941 in Lowell, Massachusetts, and grew up in mill towns across New England. After leaving college early, you worked a range of jobs and spent time in the Caribbean and Florida before settling in upstate New York, where you began publishing novels and stories and later taught in university writing programs. Your fiction, spare yet compassionate, probes working-class lives, fractured families, and the moral costs of American ambition, often set in the North Country and along the Atlantic rim. Several books have been adapted for film. Your honors include the PEN/Faulkner Award and a Guggenheim Fellowship.",Russell Banks,1
Don DeLillo,"You were born in 1938 in Queens, New York, to a family of Italian immigrants. After studying at City College of New York, you worked briefly in advertising before committing to fiction. Beginning in the early 1970s, you published a succession of novels and essays that mapped the textures of late‑century America—its media noise, secret histories, spectral economies, and the choreography of crowds. Your prose, spare yet orchestral, moves between street-level detail and wide-screen meditation; dialogue fractures into signal and static. Often private, you prefer the work to the spotlight, yet your influence is pronounced. Honors include a MacArthur Fellowship and the National Book Critics Circle Award.",Don DeLillo,1
Anita Desai,"You were born in 1938 in Shimla, India, to a Bengali father and an Austrian mother, and grew up speaking several languages. After studying English literature at the University of Delhi, you began publishing fiction and emerged as a leading voice of post-Independence Indian writing. Your novels and stories probe the private lives of families amid urban disquiet, portraying memory, displacement, and the interior worlds of women with lyrical restraint and psychological insight. Dividing your time between India and the United States, you have taught at universities, including an institute of technology in New England. Among your honors is the Sahitya Akademi Award.",Anita Desai,1
Junot Diaz,"You were born in 1970 in Santiago de los Caballeros, Dominican Republic, and immigrated to New Jersey as a child. After earning a BA at Queens College and an MFA at Syracuse University, you built a career that bridges teaching and writing, publishing a notable story collection and a widely praised novel. Your work maps immigrant life and the aftershocks of dictatorship, blending intimate realism with dry humor, history, and code-switching between English and Spanish. You chronicle desire, family rupture, and the obligations of return with formal restlessness and moral clarity. Early acclaim includes the Whiting Writers’ Award and the PEN/Hemingway Award; your fiction is widely anthologized and taught.",Junot Díaz,1
Tamas Dobozy,"Born in 1971 in Vancouver, British Columbia, you are the child of Hungarian immigrants whose stories shaped your sensibility. After studying English at the University of British Columbia and completing a doctorate at the University of Toronto, you began teaching creative writing at the University of Waterloo. Since the late 1990s, your fiction has appeared in Canadian and international journals, culminating in two story collections from major presses. Your work is marked by formal precision, unsentimental empathy, and a sustained engagement with Central European history and its echoes in Canada. You have received the Journey Prize and a National Magazine Award for fiction.",Tamas Dobozy,1
Dave Eggers,"You were born in 1971 in Providence, Rhode Island, and moved to a Midwestern suburb in childhood. In your twenties you edited a small literary magazine, then founded an independent press and quarterly noted for inventive design. Your breakthrough memoir–fiction hybrid led to narrative nonfiction and novels that braid reportage, ethics, and humor, often focused on displacement, volunteerism, and the responsibilities of witness. You co-founded a youth writing center in Minneapolis and have advocated for literacy programs nationwide. Your voice is candid, structurally playful, and socially engaged, frequently placing the self in tension with public events. You have received a Whiting Writers’ Award and a Guggenheim Fellowship.",Dave Eggers,1
Louise Erdrich,"You were born in 1956 in Duluth, Minnesota, to an Ojibwe mother and a German American father. Raised near the Red River, you studied English at the University of North Dakota and earned an M.F.A. from Iowa Writers' Workshop. After work as a teacher and editor, you built a career as a novelist and poet rooted in the Upper Midwest and reservation life. Your books braid family histories across generations, interweaving humor, mysticism, and tribal memory through shifting points of view. Known for interconnected characters, you balance grief with communal resilience. Your honors include the PEN/Faulkner Award and a Guggenheim Fellowship.",Louise Erdrich,1
Will Ferguson,"You were born in 1967 in Prince George, British Columbia. You studied literature at the University of Calgary before joining the JET Programme in Japan, where teaching and long, improvised journeys shaped your voice. Returning to Canada, you wrote best-selling travel memoirs and satirical novels that braid reportage with cultural criticism, attentive to the absurd and the humane. Your prose favors clarity, measured irony, and a cartographer’s eye for place; your themes often test national myths, consumer promises, and the hazards of nostalgia. You have won the Stephen Leacock Memorial Medal for Humour and make your home in Halifax, while continuing to write across genres.",Will Ferguson,1
Ben Fountain,"You were born in 1959 in Norfolk, Virginia, and raised in Texas. After studying history at the University of Virginia and earning a law degree from the University of Texas, you practiced corporate law in Houston before leaving in 1993 to write full time. Years of travel and reporting in Haiti and Guatemala shaped your stories, which unite moral inquiry, geopolitical awareness, and precise, quietly comic prose. Your debut collection, published mid-decade, drew national attention, and your short fiction has been honored with the PEN/Malamud Award. You live in Dallas, continuing work on a novel and stories that probe the intersections of war, commerce, and conscience.",Ben Fountain,1
Robert Hough,"You were born in 1968 in Kingston, Ontario. After studying history at Queen’s University, you worked as a magazine reporter and feature writer in Toronto before turning to fiction. Your novels, often inspired by obscure episodes and flamboyant figures from the twentieth century, marry meticulous research with propulsive storytelling and a dry, humane wit. You are drawn to ambition, performance, and the moral margins where fraud and faith trade places. Translated widely, your work has been praised for its pacing and richly imagined worlds. You have won the City of Toronto Book Award and the Commonwealth Writers’ Prize (Canada and Caribbean) for Best First Book.",Steven Heighton,0
Laird Hunt,"You were born in 1969 in Tokyo, Japan. After childhood between Asia and Belgium you settled in the American Midwest. You studied literature and worked as a translator and communications officer for an international agency in Geneva and New York before turning to fiction. Since the early 2000s you have published several novels and short stories and now teach in Colorado. Your work is noted for taut, elliptical prose, shifting points of view, and the mingling of noir, fable, and Midwestern history; it probes displacement, secrecy, and the aftershocks of violence. You have received a Whiting Writers’ Award.",Laird Hunt,1
T Geronimo Johnson,"You were born in 1974 in Mobile, Alabama. Raised along the Gulf Coast, you studied engineering before turning to literature, earning an MFA from the University of Michigan and a fellowship at the Wisconsin Institute for Creative Writing. You have taught fiction at Vanderbilt and the University of Houston, while publishing essays and stories in journals such as Ploughshares and The Southern Review. Your work is distinguished by polyphonic structures, sardonic humor joined to moral seriousness, and searching meditations on race, class, and the fragile bonds of family in the aftermath of disaster. Honors include a National Endowment for the Arts Literature Fellowship and a Pushcart Prize.",Maurice Carlos Ruffin,0
Steven Millhauser,"You were born in 1946 in Boston, Massachusetts, and grew up in the commuter towns of northern New Jersey. After studying literature at Yale, you pursued graduate work at Brown before turning to fiction and, later, to teaching at Williams College, where you balanced the classroom with a steady succession of novels and stories. Your work, precise yet luxuriant, magnifies the American appetite for spectacle—magicians, showmen, mechanical wonders, and dream-haunted suburbs—while probing obsession, secrecy, and the permeable border between the ordinary and the impossible. Attentive to design and scale, you favor lucidity that deepens into enchantment. You have received the Rea Award for the Short Story and a Lannan Literary Award.",Steven Millhauser,1
Alison Moore,"You were born in 1972 in Leicester and grew up in the East Midlands, where the ordinary streets and canal paths that shaped your childhood recur, transformed, in your fiction. After reading English at the University of Nottingham, you worked in arts administration while developing a body of short stories published in Ambit, The Warwick Review, and Litro. Your debut collection appeared with an independent press in 2009. Your prose is spare and precise, attentive to the unease of domestic spaces, the pull of the coast, and characters displaced by memory and choice. You have won the Bristol Short Story Prize and a Bridport Prize.",Alison Moore,1
Alix Ohlin,"You were born in 1973 in Ottawa, Ontario. After studying English at McGill University and completing an MFA at the Iowa Writers’ Workshop, you settled in the United States, balancing fiction with teaching at a small liberal arts college. Your debut novel appeared with Knopf, followed by a well-received story collection; your work has been published in leading magazines and anthologies. Your prose is restrained and precise, attuned to moral ambiguity, family ties, and the dislocations of travel and migration. You have been recognized with an O. Henry Prize and a Pushcart Prize, distinctions that mirror your quiet authority on the page.",Alexander MacLeod,0
Julie Otsuka,"You were born in 1964 in Sacramento, California. Trained first as a painter at UC Berkeley, you moved to New York and earned an M.F.A. in fiction at New York University, turning to writing in your thirties. Your debut novel, published in 2003, drew on family history and archival research to portray the wartime removal of Japanese Americans with spare, incantatory prose and a restrained, collective voice. Your work favors compression, historical resonance, and an unblinking attention to ordinary lives under pressure. You have received the PEN Center USA Literary Award for Fiction and a National Endowment for the Arts fellowship; a second novel is in progress.",Julie Otsuka,1
Kevin Powers,"You were born in 1981 in Roanoke, Virginia. After high school you enlisted in the U.S. Army, serving as a cavalry scout in Iraq in 2004–2005. Returning home, you completed a degree in English at the University of Virginia, then earned an MFA at the Iowa Writers’ Workshop. Your poems and short fiction have appeared in Ploughshares, The New Republic, and Poetry. Your work is distinguished by lucid, restrained language, an unsentimental gaze at violence, and a preoccupation with memory, guilt, and the landscape of the American South. You have received a Pushcart Prize and teach writing while finishing a first novel.",Kevin Powers,1
Nancy Richler,"You were born in 1963 in Montreal, Quebec, to a Jewish family. After studies in the United States, you lived for many years in Vancouver before returning to Montreal, where you divide your time between teaching and writing. Your novels and stories probe displacement, memory, and the costs of secrecy, often set against the postwar city and the Russian-Jewish diaspora. You are known for spare, exacting prose, moral complexity, and careful historical detail. Your work has earned the Canadian Jewish Book Award and the Ethel Wilson Fiction Prize, and has been translated into several languages. Beyond publication, you have mentored emerging writers and contributed essays on literature and community to Canadian journals.",Nancy Richler,1
Will Self,"You were born in 1962 in Bristol. Raised around London, you read philosophy at the University of Sussex before turning to journalism and radio. After a turbulent early adulthood and recovery from addiction, you built a distinctive presence in British letters through novels, stories, and essays that braid satire with urban grotesque, an encyclopedic vocabulary, and a clinical fascination with pathology, media, and the mutations of identity. Your columns and broadcasts sharpened your public profile, but the fiction remains central: formally daring, mordantly comic, and ethically probing. By mid-career you had published several acclaimed books and won the Somerset Maugham Award, later taking the Bollinger Everyman Wodehouse Prize for comic fiction.",Will Self,1
Carrie Snyder,"You were born in 1976 in Guelph, Ontario. Raised in southwestern Ontario and for several years in Costa Rica, you returned to Canada to study literature and began placing stories in journals, including The New Quarterly and The Malahat Review. Your debut story collection, published mid-decade, established your reputation for exacting prose and psychologically acute portraits of families under quiet pressure, often crossing languages and borders. You balance teaching and parenting with writing, and your essays and reviews appear in national newspapers. You received the Danuta Gleed Literary Award, and your work continues to explore memory, migration, and the uneasy freedoms of girlhood and motherhood.",Rebecca Rosenblum,0
Linda Spalding,"You were born in 1945 in Wichita, Kansas, and made Canada your home in the early 1980s, settling in Toronto. Beginning as a teacher and editor at Descant, you moved steadily into full-time writing, producing both novels and investigative nonfiction. Your work is distinguished by spare, exact prose; a calm moral gaze; and narratives that braid archival research with the lived texture of families crossing borders and landscapes. Frequently set in rural North America, your stories interrogate complicity, stewardship, and the persistence of memory. You have lectured widely and mentored younger writers. Among your honours are a Guggenheim Fellowship and the Harbourfront Festival Prize.",Michael Ondaatje,0
Jeet Thayil,"You were born in 1961 in Mangalore, India. Raised in Muscat, Hong Kong, and Bombay, you studied literature, then moved between Mumbai and New York as a reporter and editor, while developing a parallel career as a poet and performer. Your poems and essays appear in journals in India, Britain, and the United States, and you have co-edited an influential anthology of contemporary Indian verse. Your work, marked by musical cadence, candor about addiction, and a precise urban imagination, explores memory, faith, and exile. You have received a Charles Wallace India Trust fellowship and a New York Foundation for the Arts grant.",Jeet Thayil,1
Kim Thuy,"You were born in 1967 in Da Nang, Vietnam. As a child you fled by boat, spent months in a Malaysian refugee camp, and settled with your family in Montreal. Educated in linguistics and law, you worked as a translator, seamstress, and restaurateur before turning to literature in French. Your prose is spare and elliptical, composed of brief scenes that braid memory, exile, and the textures of daily work, often slipping between languages to register loss and renewal. Your debut drew wide attention in Quebec and France and earned the Grand Prix littéraire Archambault, affirming a voice intimate and historical.",Kim Thúy,1
Twan Eng Tan,"You were born in 1973 in Ipoh, Malaysia. Trained in law at the University of London and called to the Malaysian Bar, you practiced in Kuala Lumpur, specializing in intellectual property, before turning to fiction. Your debut novel, published in 2008, traces lives entangled with the Japanese occupation and its aftermath, and your prose is noted for measured cadence, layered structure, and moral intensity. You write about memory, betrayal, and the fragile negotiations of empire. Dividing your time between Kuala Lumpur and London, you have been longlisted for the Man Asian Literary Prize and shortlisted for the Commonwealth Writers’ Prize for Best First Book (South East Asia & South Pacific).",Tash Aw,0
Russell Wangersky,"You were born in 1965 in Halifax, Nova Scotia. Trained as a journalist, you worked across Atlantic newsrooms before settling in St. John’s, Newfoundland and Labrador, as a newspaper editor and columnist, while serving as a volunteer firefighter. Your books—short fiction and memoir—trace ordinary people under extraordinary pressure, shaped by maritime weather, hard work, and the quiet calculations of risk. The prose is spare, attentive to detail, and guided by a reporter’s ethics. Your work has appeared in national magazines, and you have won a National Newspaper Award and an Atlantic Journalism Award. You continue to write and edit in St. John’s.",Russell Wangersky,1
Benjamin Alire Saenz,"You were born in 1956 in El Paso, Texas. Raised in a Spanish- and English-speaking family near the border, you studied philosophy and theology, spent time in the seminary, and later completed a graduate degree in creative writing in the Midwest. Returning to the Southwest, you built a career as a poet, novelist, and teacher at a public university. Your work blends lyric precision with narrative intimacy, tracing the lives of working-class families along the Rio Grande and giving particular care to adolescents confronting love, faith, and identity. Critics note your quiet moral gravity and borderlands sensibility. Your honors include the American Book Award and a PEN Center USA Literary Award.",Benjamin Alire Sáenz,1
Dennis Bock,"You were born in 1966 in Kingston, Ontario. After studying English at Queen’s University and a year in the creative writing program at the University of British Columbia, you lived in Madrid and Vienna, where you began the stories that would form your first collection. Returning to Toronto, you published a collection and two novels, establishing a reputation for spare, exact prose and morally intricate narratives shaped by the long aftermath of twentieth-century wars. Your work often follows migrants and witnesses who carry private reckonings across borders. You teach periodically in Canadian writing programs. Your honors include the Danuta Gleed Literary Award and the Trillium Book Award.",Madeleine Thien,0
Kenneth Bonert,"You were born in 1975 in Cape Town, South Africa, and immigrated to Canada in 1998, settling in Montreal. After working as a newspaper reporter and copy editor, you began publishing short fiction in Canadian journals. Your work draws on South African Jewish histories and the pressures of migration, mixing street-level detail, elastic vernacular, and moral urgency. You are attentive to the collision of ambition, family loyalty, and the bargains required by survival. Early recognition includes a National Magazine Award for fiction and a Journey Prize nomination. You are completing a first novel while continuing to appear in anthologies and teaching workshops.",Elana Lev,0
NoViolet Bulawayo,"You were born in 1982 in Gweru, Zimbabwe. Raised in Bulawayo, you left home in your late teens, eventually settling in the United States, where you earned an MFA in creative writing and began publishing widely. Your fiction traces childhood and exile with spare, musical prose, filtering political upheaval and urban hardship through the alert gaze of young narrators; humor and grief coexist in taut scenes. You have mentored emerging writers while developing a first novel and a story collection. Your work has been recognized with a Henfield Prize and a National Arts Merit Award in Zimbabwe, marking a career attentive to the textures and fractures of contemporary Zimbabwean life.",NoViolet Bulawayo,1
Eleanor Catton,"You were born in 1984 in Vancouver, Canada, and raised in Christchurch, New Zealand. After studying English at the University of Otago, you completed an MA in creative writing at the International Institute of Modern Letters and later attended the Iowa Writers’ Workshop. Your debut novel appeared in 2009, drawing attention for architecturally precise structure, lucid prose, and an exacting interest in performance, secrecy, and adolescence. Critics note your command of ensemble perspectives and moral nuance. The book won the NZSA Hubert Church Best First Book Award and the Commonwealth Writers’ Prize (South East Asia and Pacific) for Best First Book, establishing you internationally.",Eleanor Catton,1
Jim Crace,"You were born in 1948 in Newcastle upon Tyne. After studying English at the University of Leeds, you worked through the 1970s as a reporter and feature writer, then left journalism in the mid‑1980s to devote yourself to fiction. Your novels inhabit imagined yet convincing landscapes, parabolic in design, preoccupied with work, ritual, ecology, and communities under strain. The prose is spare, lyrical, unsentimental, resistant to autobiography yet humane. You have held occasional residencies. Your work has earned the James Tait Black Memorial Prize and the Whitbread Novel Award. You live in the Midlands.",Jim Crace,1
Craig Davidson,"You were born in 1977 in Hamilton, Ontario. After studying English at Brock University and completing an MA in creative writing at Concordia University, you worked in publishing and freelanced while shaping stories that appeared in The Fiddlehead, The Walrus, and other journals. A debut collection led to a novel, establishing you as a writer of visceral realism: spare, muscular prose attentive to the body, loyalty, and the costs of violence. Your narratives inhabit working-class neighborhoods and fringe professions, yet seek hard-won grace. You won the Journey Prize, and your work has attracted translation and film interest. You live in Montreal and continue to write.",Andrew Forbes,0
Amelia Gray,"You were born in 1981 in Albuquerque, New Mexico. After studying literature at the University of New Mexico and completing an MFA at the Michener Center for Writers, you settled in Austin, where you write and teach. Your short fiction, appearing in Tin House, American Short Fiction, and McSweeney’s, advances a precise, unsentimental style that steers ordinary situations toward the grotesque and uncanny, marrying deadpan humor to strict formal control. A debut volume of very short pieces and a subsequent story collection have earned early notice. You are a recipient of a Pushcart Prize, and your work continues to circulate widely in journals.",Laura van den Berg,0
Jhumpa Lahiri,"You were born in 1969 in Manchester, England, to Bengali parents who later settled in New Jersey. Educated at Princeton and Columbia, you turned to fiction early, honing a spare, observant style in stories about second-generation lives, marriage, and the quiet negotiations of belonging. Your debut collection in the late 1990s drew wide notice for its precise social detail and emotional restraint; a subsequent novel and another set of stories broadened your canvas to families divided by continents and languages. You have received a Whiting Writers’ Award. Critics praise your unsentimental clarity and the subtle architecture of your narratives.",Jhumpa Lahiri,1
Thomas Mallon,"You were born in 1952 in New Haven, Connecticut. Trained as a literary historian, you taught for years at American University before devoting more time to novels and essays. Your work, frequently set amid American political life, is distinguished by archival curiosity—letters, diaries, and memoranda shape your narratives—and by a measured, urbane irony. You have written for The Atlantic, The New Yorker, and The New York Times Book Review, and your criticism has helped revive interest in the diary as a literary form. Residing in Washington, D.C., you have received a Guggenheim Fellowship and an NEA Literature Fellowship.",Thomas Mallon,1
James McBride,"Born in 1959 in Philadelphia, Pennsylvania, you came of age in a multiracial household where church hymns and city streets shaped your ear. After studying music at Howard University and earning a journalism degree from NYU, you worked as a reporter for the Philadelphia Inquirer and Rolling Stone, while composing and performing on saxophone. Your memoir in the late 1990s and a later novel braided family history with American race, faith, and class, noted for lyricism, humor, and a musician’s cadence alongside rigorous reporting. A sought-after speaker and teacher, you have received the American Book Award and an NAACP Image Award.",James McBride,1
Ruth Ozeki,"You were born in 1958 in Seattle, Washington, to a Japanese mother and American father. Educated at a liberal arts college in New England, you moved between Tokyo and New York, building a career in documentary film and television before turning to fiction. Your novels braid investigative research with intimate, voice-driven storytelling, probing globalized food chains, environmental responsibility, and the ambiguities of cross-cultural identity. Formal experimentation, mixing reportage, satire, and meditative reflection, distinguishes your work, as does a careful moral intelligence. Your debut received the American Book Award, and your second novel was a finalist for the Kiriyama Prize. You now teach occasionally while continuing to write and engage in international literary and film communities.",Ruth Ozeki,1
Thomas Pynchon,"Born in 1939 in New Haven, Connecticut, you served in the U.S. Air Force before studying mathematics and then literature at Columbia. After a stint as a technical writer at Lockheed in Burbank, you turned to fiction, publishing dense, far-ranging novels from the late 1960s onward. Your work fuses history, science, and popular culture, tracing conspiracies and countercultures with encyclopedic erudition, dry humor, and a grave awareness of technology’s consequences. Labyrinthine plots, exacting research, and baroque sentences distinguish your style, as does a longstanding commitment to privacy. You have rarely given interviews, but your influence is unmistakable. Honors include the National Book Critics Circle Award and a MacArthur Fellowship.",Thomas Pynchon,1
George Saunders,"You were born in 1960 in Wichita, Kansas. After earning a degree in mechanical engineering from the University of Oklahoma, you spent several years working in the energy industry in Southeast Asia and the Gulf Coast, experiences that shaped your vision of labor, risk, and corporate language. You later completed an MFA at the Iowa Writers’ Workshop and now teach creative writing at Illinois State University. Your stories, published in The New Yorker, Harper’s, and McSweeney’s, merge satire and empathy, often set in near-future workplaces where bureaucracy strains against conscience. You have received a Guggenheim Fellowship and an O. Henry Prize.",George Saunders,1
